00ALIMENTOS15-04-2021 00:06:2801;;;;;;;;;;;;
ID_CORPO;ID_ALIMENTO;NOME;PORÇÃO;CALORIAS;COLESTEROL;CARBOIDRATO;FIBRA;CALCIO;FERRO;SODIO;PROTEINA;CATEGORIA_ID
2;414;Filé de Pescada frito                        ;100;30,9;109,1;7,2;1,9;43,6;0,51;2,3;26,9;5
2;415;Filé de Pescada ao Molho escabeche           ;100;191,6;0;0;0;35,6;0;89,9;1,9;5
2;416;Pescadinha crua                              ;100;76,4;83,6;0;0;331,5;0,5;120,3;15,4;5
2;417;Pintado Assado                               ;100;191,5;125,9;0;0;113,5;0,7;80,9;36,4;5
2;418;Pintado cru                                  ;100;91;50,3;0;0;12;0,2;43,3;18,5;5
2;419;Porquinho cru                                ;100;93;48,6;0;0;25,8;0,3;66,7;20,4;5
2;420;Filé de Salmão Grelhado                      ;100;228,7;85,3;0;0;28,7;0,5;85,1;23,9;5
2;421;Filé de Salmão cru                           ;100;169,7;53;0;0;8,7;0,24;64,2;19,2;5
2;422;Sardinha Assada                              ;100;164,3;108,9;0;0;437,7;1,2;74,4;32,1;5
2;423;Sardinha Enlatada                            ;100;284,9;72,5;0;0;550,2;0;665,8;15,9;5
2;424;Sardinha frita                               ;100;257;102,8;0;0;482;1,1;60;33,3;5
2;425;Sardinha cru                                 ;100;113,9;60,5;0;0;167,3;1,3;60,3;21;5
2;426;Apresuntado                                  ;100;128,8;37,6;2,8;0;22,5;0,8;942,9;13,4;6
2;427;Tablete de caldo de carne                    ;100;240,6;0;15;0,5;129;0;22179,6;7,82;6
2;428;Tablete de caldo de galinha                  ;100;251,4;2,1;10,6;11,8;16,3;0,68;22299,9;6,2;6
2;429;Carne bovina cozida                          ;100;212,4;103,1;0;0;4;2,6;52,3;26,6;6
2;430;Carne bovina cru                             ;100;136,5;57,9;0;0;43,6;1,7;48,6;19,4;6
2;431;Carne bovina frita                           ;100;271,8;36,3;14,2;0;26,7;1,9;1030,2;18,1;6
2;432;Almôndega                                    ;100;271,8;36,3;14,2;0;26,7;1,9;1030,2;18,1;6
2;433;Carne Contra-Filé cru                        ;100;216,9;62,8;0;0;5,86;1,51;57,5;19,1;6
2;434;Carne Contra-Filé Assado                     ;100;311,7;120,4;0;0;7,2;0;80,5;30,6;6
2;435;Carne Contra-Filé à Milanesa                 ;100;351,5;99,3;12,1;0,37;14,6;2,8;77;20,6;6
2;436;Carne Contra-filé de costela cru             ;100;202,4;52,31;0;0;3,16;1,5;38,5;19,8;6
2;437;Carne Contra-filé de costela Assado          ;100;274,9;97,8;0;0;4,2;2,7;50,8;29,8;6
2;438;Carne Coxão duro Cozido                      ;100;216,6;71,1;0;0;3,98;1,7;41,1;31,8;6
2;439;Carne Coxão duro cru                         ;100;147,9;59,9;0;0;2,9;0;48,5;21,5;6
2;440;Carne Coxão mole Cozido                      ;100;218,6;84,1;0;0;3,7;0,51;43,5;32,3;6
